light 0 0 0 1 1 1
sphere 3 -4 -1 0.25 1 0 0
sphere 3 -4 -0.5 0.25 1 0 0
sphere 3 -4 0 0.25 1 0 0
sphere 3 -4 0.5 0.25 1 0 0
sphere 3 -4 1 0.25 1 0 0

sphere 3 -3.5 -0.75 0.25 1 0 0
sphere 3 -3.5 -0.25 0.25 1 0 0
sphere 3 -3.5 0.25 0.25 1 0 0
sphere 3 -3.5 0.75 0.25 1 0 0

sphere 3 -3 -0.5 0.25 1 0 0
sphere 3 -3 0 0.25 1 0 0
sphere 3 -3 0.5 0.25 1 0 0

sphere 3 -2.5 -0.25 0.25 1 0 0
sphere 3 -2.5 0.25 0.25 1 0 0

sphere 3 -2 0 0.25 1 0 0


sphere 3 4 0 0.25 0.8 0.4 0

sphere 3 4 -2 0.25 1 1 0

sphere 3 4 2 0.25 0 0.4 0

sphere 3 -1.5 0 0.25 1 0.6 0.6

sphere 3 1 0 0.25 0 0 0.5

sphere 3 -5 0 0.25 0.1 0.1 0.1
